title,tmdb_id,genres,languages,production_countries,release_date,overview
Ash Is Purest White,441393,"['Crime', 'Romance', 'Drama']",['Mandarin'],"['France', 'Japan', 'China']",2018-09-21,"Set in China's underworld, this tale of love and betrayal follows a dancer who fired a gun to protect her mobster boyfriend during a fight. On release from prison 5 years later, she sets out to find him."
Gloria Bell,491473,"['Drama', 'Romance']",['English'],"['Chile', 'United States of America']",2019-03-07,"Gloria is a free-spirited divorcée who spends her days at a straight-laced office job and her nights on the dance floor, joyfully letting loose at clubs around Los Angeles. After meeting Arnold on a night out, she finds herself thrust into an unexpected new romance, filled with both the joys of budding love and the complications of dating, identity, and family."
Black Mother,500859,['Documentary'],['English'],['United States of America'],2018-11-02,"Part film, part baptism, in BLACK MOTHER director Khalik Allah brings us on a spiritual journey through Jamaica. Soaking up its bustling metropolises and tranquil countryside, Allah introduces us to a succession of vividly rendered souls who call this island home. Their candid testimonies create a polyphonic symphony, set against a visual prayer of indelible portraiture. Thoroughly immersed between the sacred and profane, BLACK MOTHER channels rebellion and reverence into a deeply personal ode informed by Jamaica’s turbulent history but existing in the urgent present."
The Hole in the Ground,484437,['Horror'],['English'],"['Belgium', 'Finland', 'Ireland', 'United Kingdom']",2019-03-01,"Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home."
How to Train Your Dragon: The Hidden World,166428,"['Animation', 'Family', 'Adventure']",['English'],['United States of America'],2019-01-03,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind."
A Tuba to Cuba,502190,"['Documentary', 'Music', 'History']",['English'],"['Cuba', 'United States of America']",2019-02-15,"A son seeking to fulfill his late father’s dream takes his band from the storied city of New Orleans to the shores of Cuba, where — through the universal language of music — dark and ancient connections between their peoples reveal the roots of jazz."
Fighting With My Family,445629,['Comedy'],['English'],"['United Kingdom', 'United States of America']",2019-02-14,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star."
Sorry Angel,485189,"['Comedy', 'Drama', 'Romance']","['French', 'Spanish']",['France'],2018-05-09,Jacques is a writer living in Paris. He hasn't turned 40 but already mistrusts that the best in life is yet to come. Arthur is a student living in Brittany. He reads and smiles a lot and refuses to think that everything in life might not be possible. Jacques and Arthur will like each other. Just like in a lovely dream. Just like in a sad story.
"Berlin, I Love You",401686,['Drama'],"['English', 'German']","['Germany', 'United States of America']",2019-02-08,An anthology feature of 10 stories of romance set in the German capital.
Untogether,424651,"['Comedy', 'Drama']",['English'],['United States of America'],2019-02-08,"Once considered a teen prodigy, a recovering addict sobers up and tries to get her writing career back on track. She begins a relationship with a rising author known for his wartime memoirs."
Cold War,440298,"['Drama', 'Romance', 'War', 'Music']","['German', 'Croatian', 'French', 'Italian', 'Polish', 'Russian']","['France', 'Poland', 'United Kingdom']",2018-06-08,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other."
If Beale Street Could Talk,465914,"['Romance', 'Drama']",['English'],['United States of America'],2018-12-14,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence."
Asher,529982,"['Thriller', 'Action', 'Drama']",['English'],['United States of America'],2018-12-07,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be."
The Party’s Just Beginning,435557,"['Drama', 'Comedy']",['English'],"['United Kingdom', 'United States of America']",2018-12-07,"In a bleak Inverness midwinter, Luisaidh is careening off the rails after the suicide of her best friend. She medicates her misery with joyless sex, chips and a belief in the power of positive drinking. Surrounded by bittersweet memories, she struggles to find someone to talk to or some reason to make life worthwhile at the most stressful time of the year."
The Great Pretender,465937,['Comedy'],['Cantonese'],['Hong Kong'],1991-05-16,The Great Pretenders is a Hong Kong Comedy starring Tony Leung Chiu-Wai
Sicilian Ghost Story,453347,"['Mystery', 'Drama', 'Fantasy']",['Italian'],"['France', 'Italy', 'Switzerland']",2017-11-18,"In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the silence and complicity that surround her, and to find him she descends into the dark world which has swallowed him up and which has a lake as its mysterious entrance."
The New Romantic,497864,"['Drama', 'Comedy']",['English'],['Canada'],2018-10-19,"In order to escape her looming post-graduation fate that includes student debt and zero romantic prospects, Blake Conway becomes a sugar baby. As the aspiring journalist and hopeless romantic documents the adventure, she sets out on a quest to figure out if society is right to judge these women and if her own self worth comes with a price."
Pimp,417688,['Drama'],['English'],['United States of America'],2018-11-09,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki."
In a Relationship,448447,"['Drama', 'Comedy', 'Romance']",['English'],"['Mexico', 'United States of America']",2018-11-09,"Long-term couple Owen and Hallie are breaking up—or maybe not?—and just as their relationship reaches a turning point, Matt and Willa embark on a romance of their own."
How to Talk to Girls at Parties,341689,"['Comedy', 'Music', 'Romance', 'Science Fiction']",['English'],"['United Kingdom', 'United States of America']",2017-10-06,"In 1970s London, a teenage outsider named Enn falls in love with a rebellious alien girl named Zan, who has come to Earth for a party. Together, they navigate the complexities of intergalactic culture and the trials of first love."
Godard Mon Amour,416186,"['Drama', 'Romance', 'Comedy']","['Czech', 'French', 'English', 'Italian']","['Myanmar', 'France']",2017-06-24,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her."
Outside In,472805,['Drama'],['English'],['United States of America'],2018-03-30,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high-school teacher.
The Party,10794,['Comedy'],['English'],['United States of America'],1968-04-04,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put on the guest list for an upcoming party at the home of a Hollywood film producer. Unfortunately, from the moment he arrives, one thing after another goes wrong with compounding effect."
